name,t_mm,A_cm2,w_kg/m,Ix_cm4,Iy_cm4,Zx_cm3,Zy_cm3,rx_cm,ry_cm,Cy_cm,Xo_cm,J_cm4,Cw_cm6
C100x50x20x2,2,4.54,3.56,71,17,14.3,5.4,3.97,1.93,1.87,4.48,605,444
C100x50x20x2.3,2.3,5.17,4.06,81,19,16.1,6,3.95,1.92,1.86,4.46,912,496
C100x50x20x2.5,2.5,5.59,4.39,87,20,17.3,6.5,3.94,1.9,1.86,4.45,1164,528
C100x50x20x2.8,2.8,6.2,4.87,95,22,19.1,7.1,3.92,1.89,1.86,4.42,1621,574
C100x50x20x3,3,6.61,5.19,101,23,20.2,7.4,3.91,1.88,1.86,4.41,1982,603
C100x50x20x3.2,3.2,7.01,5.5,106,24,21.3,7.8,3.9,1.87,1.86,4.4,2392,630
C125x50x20x2,2,5.04,3.95,120,18,19.3,5.5,4.89,1.91,1.69,4.15,672,675
C125x50x20x2.3,2.3,5.75,4.51,136,21,21.8,6.2,4.87,1.89,1.69,4.12,1013,755
C125x50x20x2.5,2.5,6.21,4.88,147,22,23.5,6.6,4.86,1.88,1.69,4.11,1295,805
C125x50x20x2.8,2.8,6.9,5.42,162,24,25.9,7.2,4.84,1.86,1.69,4.08,1804,877
C125x50x20x3,3,7.36,5.78,172,25,27.5,7.6,4.83,1.85,1.69,4.07,2207,922
C125x50x20x3.2,3.2,7.81,6.13,181,27,29,8,4.82,1.84,1.68,4.05,2665,965
C150x50x20x2,2,5.54,4.35,185,19,24.7,5.6,5.79,1.87,1.55,3.86,738,971
C150x50x20x2.3,2.3,6.32,4.96,210,22,28,6.3,5.77,1.86,1.55,3.84,1115,1088
C150x50x20x2.5,2.5,6.84,5.37,226,23,30.2,6.8,5.75,1.85,1.55,3.82,1425,1162
C150x50x20x2.8,2.8,7.6,5.97,250,26,33.3,7.4,5.73,1.83,1.54,3.8,1987,1267
C150x50x20x3,3,8.11,6.37,265,27,35.4,7.8,5.72,1.82,1.54,3.78,2432,1334
C150x50x20x3.2,3.2,8.61,6.76,280,28,37.4,8.2,5.71,1.81,1.54,3.77,2938,1398
C150x65x20x2,2,6.14,4.82,218,36,29.1,8.3,5.96,2.43,2.12,5.19,818,1784
C150x65x20x2.3,2.3,7.01,5.5,248,41,33,9.4,5.94,2.42,2.12,5.16,1236,2006
C150x65x20x2.5,2.5,7.59,5.96,267,44,35.6,10,5.93,2.41,2.12,5.15,1581,2148
C150x65x20x2.8,2.8,8.44,6.63,295,48,39.4,11,5.91,2.39,2.12,5.13,2207,2352
C150x65x20x3,3,9.01,7.07,314,51,41.8,11.6,5.9,2.38,2.11,5.11,2702,2482
C150x65x20x3.2,3.2,9.57,7.51,332,54,44.2,12.2,5.89,2.37,2.11,5.09,3265,2608
C200x75x20x2,2,7.54,5.92,467,56,46.7,10.6,7.87,2.73,2.2,5.49,1005,4571
C200x75x20x2.3,2.3,8.62,6.77,531,64,53.1,12,7.85,2.72,2.2,5.47,1520,5159
C200x75x20x2.5,2.5,9.34,7.33,573,68,57.3,12.9,7.84,2.71,2.2,5.45,1946,5537
C200x75x20x2.8,2.8,10.4,8.17,636,75,63.6,14.2,7.82,2.69,2.2,5.42,2719,6085
C200x75x20x3,3,11.11,8.72,676,80,67.6,15,7.8,2.68,2.19,5.41,3332,6437
C200x75x20x3.2,3.2,11.81,9.27,716,84,71.6,15.8,7.79,2.67,2.19,5.39,4030,6779
